"External ID","Бригада","Статус","Выполненные работы/Вид работ","Выполненный объем, м²","Начало смены","Операционное время по фактам работ, сек","Операционное время, ручная корректировка, ч","Event stock picking out count","Расход топлива/Оборудование/Отображаемое Имя","Выполненные работы/Контракт/Отображаемое Имя","Расход материалов/Контракт/Отображаемое Имя"
"__export__.roadmark_mrp_shift_work_shift_24275_8b33eeb7","К03 Медведь","Закрыта","Линейные","449.77","2024-04-01 04:00:00","2902.789","0.80633","4","К03 Воздуходувка","г. Борисов (УП Жильё) \\2024\\","г. Борисов (УП Жильё) \\2024\\"
"","","","Линейные","","","","","","","г. Борисов (УП Жильё) \\2024\\",""
"","","","Линейные","","","","","","","г. Борисов (УП Жильё) \\2024\\",""
"","","","Ручные","","","","","","","г. Борисов (УП Жильё) \\2024\\",""
"","","","","","","","","","К03 HYUNDAI  АК 1163-1/357938020545695","",""
"","","","","","","","","","К03 ШМЕЛЬ12А  АМ3348-1/862462039356935","",""
"","","","","","","","","","","","г. Борисов (УП Жильё) \\2024\\"
"","","","","","","","","","","","г. Борисов (УП Жильё) \\2024\\"
"","","","","","","","","","","","г. Борисов (УП Жильё) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24292_c9f47a9b","К01 Чурак","Закрыта","","0.0","2024-04-01 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24457_57373e3c","П06 Алькин","Закрыта","","0.0","2024-04-01 07:00:00","0.0","0.0","0","Газель Next М398хр716","",""
"","","","","","","","","","Газель Next М398хр716","",""
"__export__.roadmark_mrp_shift_work_shift_24311_8fe0e7c8","П10 Валеев","Закрыта","","0.0","2024-04-01 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24530_51cad807","Р15 Коряков","Закрыта","","0.0","2024-04-01 07:27:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24494_ba3f705f","К06 Камалов_","Закрыта","","0.0","2024-04-01 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24342_827d3568","П04 Старикевич","Закрыта","","0.0","2024-04-01 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24293_d98ba050","П08 Латыев","Закрыта","Линейные","56.36","2024-04-01 08:00:00","0.0","0.3","1","П08 Контур 700 ТП №96/63АК1812","Крым-Магистраль \\2024\\","Крым-Магистраль \\2024\\"
"","","","Линейные","","","","","","","Крым-Магистраль \\2024\\",""
"","","","Ручные","","","","","","","Крым-Магистраль \\2024\\",""
"","","","","","","","","","П08 Камаз C311TM716","",""
"","","","","","","","","","Газель 330232 Е064ВХ763","",""
"","","","","","","","","","Газель 330232 Е064ВХ763","",""
"__export__.roadmark_mrp_shift_work_shift_24369_618564de","П09 Мартынюк","Закрыта","","0.0","2024-04-01 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24391_2a9e77e7","П12 Крым","Закрыта","","0.0","2024-04-01 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24343_94e4ddf1","Р14 Порошин","Закрыта","","0.0","2024-04-01 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24648_54cf10f8","Т01 Гранкин (Тычковочная)","Закрыта","","0.0","2024-04-01 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24334_29aa9ea6","У01 Богдан","Закрыта","Ручные","27.38","2024-04-01 08:00:00","0.0","0.0","3","Р02 Бензогенератор","Полесьежилстрой (Гоголя 81, 10 оч.) \\2024\\","Полесьежилстрой (Гоголя 81, 10 оч.) \\2024\\"
"","","","","","","","","","Р02 Бензогенератор","",""
"","","","","","","","","","","","Полесьежилстрой (Гоголя 81, 10 оч.) \\2024\\"
"","","","","","","","","","","","Полесьежилстрой (Гоголя 81, 10 оч.) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24358_f12ef5b3","Д02 Жолнерук","Закрыта","","0.0","2024-04-01 08:30:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24434_fa858be2","К04 Северенюк","Закрыта","","0.0","2024-04-01 08:45:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24294_123f9628","К08 Семашко","Закрыта","Линейные","103.4","2024-04-01 09:00:00","599.856","0.0","2","К01 Шмель 12А  АМ 4366-1 (аренда)","г. Берёза \\2024\\","г. Берёза \\2024\\"
"","","","Линейные","","","","","","","г. Берёза \\2024\\",""
"","","","Линейные","","","","","","","г. Берёза \\2024\\",""
"","","","","","","","","","","","г. Берёза \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24364_27c5c1de","П13 Омелянчук","Закрыта","","0.0","2024-04-01 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24404_2b44bfa4","Р01 Бочкарёв","Закрыта","","0.0","2024-04-01 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24335_c3d7ae6b","Р06 Христик","Закрыта","","0.0","2024-04-01 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24297_d408c393","Р13 Пиявка","Закрыта","Ручные","12.870000000000001","2024-04-01 09:00:00","0.0","0.0","2","ГАЗ В093ХТ-763/В093ХТ-763","ВАД УДС Симферополь \\2024\\","ВАД УДС Симферополь \\2024\\"
"","","","Ручные","","","","","","","ВАД УДС Симферополь \\2024\\",""
"","","","Ручные","","","","","","","ВАД УДС Симферополь \\2024\\",""
"","","","","","","","","","Р13 Генератор ресанта БГ4000Р","",""
"","","","","","","","","","Воздуходувка GB-26","",""
"","","","","","","","","","","","ВАД УДС Симферополь \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24288_d6820c33","Р16 Симинский","Закрыта","Ручные","84.8","2024-04-01 09:00:00","0.0","0.0","1","Р02.1 LineLazer НОВЫЙ","г. Борисов (УП Жильё) \\2024\\","г. Борисов (УП Жильё) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24363_4778136a","Р19 Старикевич АА","Закрыта","","0.0","2024-04-01 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24325_9b00aae4","К05 Наумчик","Закрыта","","0.0","2024-04-01 13:34:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24449_58e028c6","Р04 Безсилко","Закрыта","","0.0","2024-04-01 15:01:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24295_ca75bb21","Р17 Северенюк Д","Закрыта","Ручные","38.050000000000004","2024-04-01 17:00:00","0.0","0.0","1","Р05 LineLazer НОВЫЙ","СТиМ (Стоянки) \\2024\\","СТиМ (Стоянки) \\2024\\"
"","","","","","","","","","Р03 ГАЗ NEXT АН 7652-1 (новый)","",""
"__export__.roadmark_mrp_shift_work_shift_24338_d0f9cedb","У02 Назарук","Закрыта","Линейные","363.02","2024-04-01 18:00:00","3552.736","0.0","1","воздуходувка новая","пр. Шмидта, г. Могилев \\2023\\","пр. Шмидта, г. Могилев \\2023\\"
"","","","","","","","","","Р06 Вулкан 2х400 Б15/15","",""
"","","","","","","","","","Контур 400 №5","",""
"","","","","","","","","","ГАЗель NEXT АР5699-1","",""
"","","","","","","","","","JAC N120 АР 5957-1","",""
"","","","","","","","","","Контур 400 №5","",""
"","","","","","","","","","Р06 Вулкан 2х400 Б15/15","",""
"","","","","","","","","","ГАЗель NEXT АР5699-1","",""
"","","","","","","","","","JAC N120 АР 5957-1","",""
"__export__.roadmark_mrp_shift_work_shift_24300_2260dec2","П07 Расщибин","Закрыта","Ручные","37.660000000000004","2024-04-01 19:21:00","0.0","0.0","1","Р14 Генератор Макита","ВАД УДС Симферополь \\2024\\","ВАД УДС Симферополь \\2024\\"
"","","","","","","","","","Р14 Воздуходувка Штиль","",""
"","","","","","","","","","Газель Next M422XP-716","",""
"","","","","","","","","","Газель Next M422XP-716","",""
"__export__.roadmark_mrp_shift_work_shift_24324_5accd600","Р18 Челлура","Закрыта","Ручные","87.0","2024-04-01 20:00:00","0.0","0.0","2","К05 LineLazer НОВЫЙ","г. Борисов (УП Жильё) \\2024\\","г. Борисов (УП Жильё) \\2024\\"
"","","","Ручные","","","","","","","г. Борисов (УП Жильё) \\2024\\",""
"","","","","","","","","","Газель Next AP 9207-1","",""
"","","","","","","","","","","","г. Борисов (УП Жильё) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24301_f4b70ede","Р05 Шумик","Закрыта","Ручные","232.20000000000002","2024-04-01 20:30:00","0.0","0.0","2","Р05 воздуходувка","г. Борисов (УП Жильё) \\2024\\","г. Борисов (УП Жильё) \\2024\\"
"","","","Ручные","","","","","","","г. Борисов (УП Жильё) \\2024\\",""
"","","","Ручные","","","","","","","г. Борисов (УП Жильё) \\2024\\",""
"","","","","","","","","","Р05 LineLazer","",""
"","","","","","","","","","Р01 ISUZU  АК 5853-1/866039048467238","",""
"","","","","","","","","","Р01 ISUZU  АК 5853-1/866039048467238","",""
"","","","","","","","","","","","г. Борисов (УП Жильё) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24306_8d41bbc3","Р12 Симоненков","Закрыта","Ручные","4.29","2024-04-01 21:00:00","0.0","0.0","1","К07 HYUNDAI VT (HD78)  В902ХС763","ВАД УДС Симферополь \\2024\\","ВАД УДС Симферополь \\2024\\"
"","","","","","","","","","К07 HYUNDAI VT (HD78)  В902ХС763","",""
"__export__.roadmark_mrp_shift_work_shift_24312_bf50946d","П10 Валеев","Закрыта","Линейные","299.77","2024-04-02 05:00:00","0.0","0.0","4","Котел HOFFMAN 4т","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\"
"","","","Ручные","","","","","","","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\",""
"","","","","","","","","","П08 КАМАЗ А872ТМ716","",""
"","","","","","","","","","Контур 700 ТПС (аренда) №054","",""
"","","","","","","","","","П06 ГАЗ АН 8428-1","",""
"","","","","","","","","","Котел HOFFMAN 4т","",""
"","","","","","","","","","П06 ГАЗ АН 8428-1","",""
"","","","","","","","","","Контур 700 ТПС (аренда) №054","",""
"","","","","","","","","","","","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\"
"","","","","","","","","","","","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\"
"","","","","","","","","","","","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24299_8181c87f","К01 Чурак","Закрыта","","0.0","2024-04-02 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24347_e31ba7c1","П04 Старикевич","Закрыта","","0.0","2024-04-02 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24458_2345d9ac","П06 Алькин","Закрыта","","0.0","2024-04-02 07:00:00","0.0","0.0","0","Газель Next М398хр716","",""
"","","","","","","","","","Газель Next М398хр716","",""
"__export__.roadmark_mrp_shift_work_shift_24558_91540b44","Р15 Коряков","Закрыта","","0.0","2024-04-02 07:55:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24296_b6fb109e","К03 Медведь","Закрыта","","0.0","2024-04-02 08:00:00","0.0","0.0","0","К03 ШМЕЛЬ12А  АМ3348-1/862462039356935","",""
"","","","","","","","","","К03 HYUNDAI  АК 1163-1/357938020545695","",""
"","","","","","","","","","К03 HYUNDAI  АК 1163-1/357938020545695","",""
"","","","","","","","","","К03 ШМЕЛЬ12А  АМ3348-1/862462039356935","",""
"__export__.roadmark_mrp_shift_work_shift_24496_9b104964","К06 Камалов_","Закрыта","","0.0","2024-04-02 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24372_163ed88f","П09 Мартынюк","Закрыта","","0.0","2024-04-02 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24450_8f7a79bb","Р04 Безсилко","Закрыта","","0.0","2024-04-02 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24344_898b4cff","Р14 Порошин","Закрыта","","0.0","2024-04-02 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24350_4e5cde05","У01 Богдан","Закрыта","","0.0","2024-04-02 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24339_a00a6721","У02 Назарук","Закрыта","","0.0","2024-04-02 08:13:00","0.0","0.0","0","ГАЗель NEXT АР5699-1","",""
"__export__.roadmark_mrp_shift_work_shift_24359_0defc2ec","Д02 Жолнерук","Закрыта","","0.0","2024-04-02 08:31:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24298_3c359f01","Р16 Симинский","Закрыта","Ручные","179.20000000000002","2024-04-02 08:43:00","0.0","0.0","1","Р02.1 LineLazer НОВЫЙ","г. Борисов (УП Жильё) \\2024\\","г. Борисов (УП Жильё) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24435_eb730a8d","К04 Северенюк","Закрыта","","0.0","2024-04-02 08:51:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24309_7c989dae","К08 Семашко","Закрыта","","0.0","2024-04-02 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24313_825033df","П08 Латыев","Закрыта","","0.0","2024-04-02 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24405_3c2b8720","Р01 Бочкарёв","Закрыта","","0.0","2024-04-02 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24336_0da55de4","Р06 Христик","Закрыта","","0.0","2024-04-02 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24310_d2a659e2","Р12 Симоненков","Закрыта","Ручные","37.54","2024-04-02 09:00:00","0.0","0.0","1","К07 HYUNDAI VT (HD78)  В902ХС763","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\"
"","","","","","","","","","К07 Электростанция","",""
"","","","","","","","","","Воздуходувка GB-26","",""
"__export__.roadmark_mrp_shift_work_shift_24315_2f64ef48","Р13 Пиявка","Закрыта","Ручные","27.78","2024-04-02 09:00:00","0.0","0.0","2","ГАЗ В093ХТ-763/В093ХТ-763","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\"
"","","","Ручные","","","","","","","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\",""
"","","","Ручные","","","","","","","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\",""
"","","","Ручные","","","","","","","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\",""
"","","","Ручные","","","","","","","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\",""
"","","","","","","","","","Воздуходувка GB-26","",""
"","","","","","","","","","Р13 Генератор ресанта БГ4000Р","",""
"","","","","","","","","","","","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24380_5b05b0e4","Р19 Старикевич АА","Закрыта","","0.0","2024-04-02 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24365_aa090e89","П13 Омелянчук","Закрыта","","0.0","2024-04-02 09:23:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24392_b5955838","П12 Крым","Закрыта","","0.0","2024-04-02 10:37:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24327_23e1c79f","К05 Наумчик","Закрыта","","0.0","2024-04-02 13:40:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24323_b32e6acc","Р05 Шумик","Закрыта","","0.0","2024-04-02 14:00:00","0.0","0.0","0","Р01 ISUZU  АК 5853-1/866039048467238","",""
"__export__.roadmark_mrp_shift_work_shift_24305_89f0141e","Р17 Северенюк Д","Закрыта","","0.0","2024-04-02 16:38:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24346_4a1560bb","П07 Расщибин","Закрыта","Ручные","20.07","2024-04-02 19:30:00","0.0","0.0","1","Р14 Воздуходувка Штиль","ВАД УДС Симферополь \\2024\\","ВАД УДС Симферополь \\2024\\"
"","","","Ручные","","","","","","","ВАД УДС Симферополь \\2024\\",""
"","","","Ручные","","","","","","","ВАД УДС Симферополь \\2024\\",""
"","","","","","","","","","Р14 Генератор Макита","",""
"","","","","","","","","","Газель Next M422XP-716","",""
"__export__.roadmark_mrp_shift_work_shift_24326_a19bdba4","Р18 Челлура","Закрыта","","0.0","2024-04-02 20:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24340_e43e733f","У02 Назарук","Закрыта","","0.0","2024-04-03 06:00:00","0.0","0.0","0","ГАЗель NEXT АР5699-1","",""
"","","","","","","","","","JAC N120 АР 5957-1","",""
"","","","","","","","","","JAC N120 АР 5957-1","",""
"","","","","","","","","","ГАЗель NEXT АР5699-1","",""
"__export__.roadmark_mrp_shift_work_shift_24349_7f5735fb","П10 Валеев","Закрыта","Линейные","31.68","2024-04-03 06:30:00","0.0","0.0","1","Котел HOFFMAN 4т","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\"
"","","","Ручные","","","","","","","А/д KR-2 км183-212 (Алихан-Мангыстау) \\2024\\",""
"","","","","","","","","","П06 ГАЗ АН 8428-1","",""
"","","","","","","","","","Контур 700 ТПС (аренда) №054","",""
"","","","","","","","","","П08 КАМАЗ А872ТМ716","",""
"","","","","","","","","","П06 ГАЗ АН 8428-1","",""
"","","","","","","","","","П08 КАМАЗ А872ТМ716","",""
"","","","","","","","","","Котел HOFFMAN 4т","",""
"","","","","","","","","","Контур 700 ТПС (аренда) №054","",""
"__export__.roadmark_mrp_shift_work_shift_24332_1d327717","К01 Чурак","Закрыта","","0.0","2024-04-03 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24497_2eeb31c9","К06 Камалов_","Закрыта","","0.0","2024-04-03 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24459_6752fc0c","П06 Алькин","Закрыта","","0.0","2024-04-03 07:00:00","0.0","0.0","0","П06 Электростанция","",""
"","","","","","","","","","П06 Электростанция","",""
